FB001,FB002,FB003,FB004,FB005,FB006,FB007,FB008,FB009,FB010,FB011,FB012,FB013,FB014,FB015,FB016,FB017,FB018,FB019,FB020,FB021,FB022,FB023,FB024,FB025,FB026,FB027,FB028,FB029,FB030,FB031,FB032,FB033,FB034,FB035,FB036,FB037,FB038,FB039,FB040,FB041,FB042,FB043,FB044,FB045,FB046,FB047,FB048,FB049,FB050,FB051,FB052,FB053,FB054,FB055,FB056,FB057,FB058,FB059,FB060,FB061,FB062,FB063,FB064,FB065,FB066,FB067,FB068,FB069,FB070,FB071,FB072,FB073,FB074
7.6189,3.1288,2.4808,1.3766453,2.0533,12.3466,9.1285,6.7927,6.0634,,8.6491,,,,12.0814,9.0571,10.3576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.6189,3.1288,2.4808,1.3766453,2.0533,12.3466,9.1285,6.7927,6.0634,,8.6491,,,,12.0814,9.0571,10.3576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.6189,3.1288,2.4808,1.3766453,2.0533,12.3466,9.1285,6.7927,6.0634,,8.6491,,,,12.0814,9.0571,10.3576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.6189,3.1288,2.4808,1.3766453,2.0533,12.3466,9.1285,6.7927,6.0634,,8.6491,,,,12.0814,9.0571,10.3576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.6138,3.1288,2.4808,1.3766453,2.0533,12.3466,9.1285,6.7927,6.0634,,8.644,,,,12.0814,9.0571,10.3576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.6138,3.1288,2.4808,1.3766453,2.0533,12.3466,9.1285,6.7927,6.0634,,8.644,,,,12.0814,9.0571,10.3576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.6138,3.1288,2.4808,1.3766453,2.0533,12.3466,9.1285,6.7927,6.0634,,8.644,,,,12.0814,9.0571,10.3576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.6138,3.1288,2.4808,1.3766453,2.0533,12.3466,9.1285,6.7927,6.0634,,8.644,,,,12.0814,9.0571,10.3576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.6138,3.1288,2.4808,1.3766453,2.0533,12.3466,9.1285,6.7927,6.0634,,8.644,,,,12.0814,9.0571,10.3576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.6138,3.1288,2.4808,1.3766453,2.0533,12.3466,9.1285,6.7927,6.0634,,8.644,,,,12.0814,9.0571,10.3576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.6138,3.1273,2.4808,1.37575504,2.0533,12.3466,9.1285,6.7927,6.0634,,8.644,,,,12.0814,9.0571,10.3576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.6138,3.1273,2.4808,1.37575504,2.0533,12.3466,9.1285,6.7927,6.0634,,8.644,,,,12.0814,9.0571,10.3576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.6138,3.1273,2.4808,1.37575504,2.0533,12.3466,9.1285,6.7927,6.0532,,8.644,,,,12.0814,9.0571,10.3576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.6138,3.1273,2.4808,1.37575504,2.0533,12.3466,9.1285,6.7927,6.0532,,8.644,,,,12.0814,9.0571,10.3576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.6138,3.1273,2.4808,1.37575504,2.0533,12.3517,9.1285,6.7927,6.0532,,8.644,,,,12.0814,9.0571,10.3576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.6138,3.1273,2.4808,1.37575504,2.0533,12.3517,9.1285,6.7927,6.0532,,8.644,,,,12.0814,9.0571,10.3576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.6138,3.1273,2.4808,1.37575504,2.0533,12.3517,9.1285,6.7927,6.0532,,8.644,,,,12.0814,9.0571,10.3525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.6138,3.1273,2.4808,1.37575504,2.0533,12.3517,9.1285,6.7927,6.0532,,8.644,,,,12.0814,9.0571,10.3525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.6138,3.1273,2.4808,1.37575504,2.0533,12.3517,9.1285,6.7927,6.0532,,8.644,,,,12.0814,9.0571,10.3525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.6138,3.1273,2.4808,1.37575504,2.0533,12.3517,9.1285,6.7927,6.0532,,8.644,,,,12.0814,9.0571,10.3525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.6138,3.1273,2.4793,1.37575504,2.0533,12.3517,9.1285,6.7927,6.0532,,8.644,,,,12.0712,9.0571,10.3525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.6138,3.1273,2.4793,1.37575504,2.0533,12.3517,9.1285,6.7927,6.0532,,8.644,,,,12.0712,9.0571,10.3525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.6138,3.1273,2.4793,1.37575504,2.0533,12.3517,9.1285,6.7927,6.0532,,8.644,,,,12.0712,9.0571,10.3525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.6138,3.1273,2.4793,1.37575504,2.0533,12.3517,9.1285,6.7927,6.0532,,8.644,,,,12.0712,9.0571,10.3525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.6138,3.1273,2.4793,1.37575504,2.0533,12.3517,9.1285,6.7927,6.0532,,8.644,,,,12.0712,9.0571,10.3525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.6138,3.1273,2.4793,1.37575504,2.0533,12.3517,9.1285,6.7927,6.0532,,8.644,,,,12.0712,9.0571,10.3525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.6138,3.1273,2.4793,1.37575504,2.0533,12.3517,9.1285,6.7927,6.0532,,8.644,,,,12.0712,9.0571,10.3525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.6138,3.1273,2.4793,1.37575504,2.0533,12.3517,9.1285,6.7927,6.0532,,8.644,,,,12.0712,9.0571,10.3525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.6138,3.1273,2.4793,1.37575504,2.0533,12.3517,9.1285,6.7927,6.0532,,8.644,,,,12.0712,9.0571,10.3525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.6138,3.1273,2.4793,1.37575504,2.0533,12.3517,9.1285,6.7927,6.0532,,8.644,,,,12.0712,9.0571,10.3525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.6087,3.1273,2.4793,1.37575504,2.0533,12.3517,9.1285,6.7825,6.0532,,8.644,,,,12.0712,9.0571,10.3525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.6087,3.1273,2.4793,1.37575504,2.0533,12.3517,9.1285,6.7825,6.0532,,8.644,,,,12.0712,9.0571,10.3525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.6087,3.1273,2.4793,1.37575504,2.0533,12.3517,9.1285,6.7825,6.0532,,8.644,,,,12.0712,9.0571,10.3525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.6087,3.1273,2.4793,1.37575504,2.0533,12.3517,9.1285,6.7825,6.0532,,8.644,,,,12.0712,9.0571,10.3525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.6087,3.1258,2.4793,1.37575504,2.0533,12.3517,9.1285,6.7825,6.0532,,8.644,,,,12.0712,9.0571,10.3525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.6087,3.1258,2.4793,1.37575504,2.0533,12.3517,9.1285,6.7825,6.0532,,8.644,,,,12.0712,9.0571,10.3525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.6087,3.1258,2.4793,1.3766453,2.0533,12.3517,9.1285,6.7825,6.0532,,8.644,,,,12.0712,9.052,10.3525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.6087,3.1258,2.4793,1.3766453,2.0533,12.3517,9.1285,6.7825,6.0532,,8.644,,,,12.0712,9.052,10.3525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.6087,3.1258,2.4808,1.3766453,2.0533,12.367,9.1285,6.7825,6.0532,,8.644,,,,12.0712,9.052,10.3525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.6087,3.1258,2.4808,1.3766453,2.0533,12.367,9.1285,6.7825,6.0532,,8.644,,,,12.0712,9.052,10.3525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.6087,3.1258,2.4808,1.3766453,2.0533,12.367,9.1285,6.7825,6.0532,,8.644,,,,12.0763,9.052,10.3525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.6087,3.1258,2.4808,1.3766453,2.0533,12.367,9.1285,6.7825,6.0532,,8.644,,,,12.0763,9.052,10.3525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.6087,3.1258,2.4808,1.3766453,2.0533,12.367,9.1285,6.7825,6.0532,,8.644,,,,12.0763,9.052,10.3576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.6087,3.1258,2.4808,1.3766453,2.0533,12.367,9.1285,6.7825,6.0532,,8.644,,,,12.0763,9.052,10.3576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.6087,3.1258,2.4808,1.3766453,2.0533,12.367,9.1285,6.7825,6.0532,,8.644,,,,12.0763,9.052,10.3576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.6087,3.1258,2.4808,1.3766453,2.0533,12.367,9.1285,6.7825,6.0532,,8.644,,,,12.0763,9.052,10.3576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.6087,3.1258,2.4808,1.3766453,2.0533,12.367,9.1285,6.7825,6.0532,,8.644,,,,12.0763,9.052,10.3576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.6087,3.1258,2.4808,1.3766453,2.0533,12.367,9.1285,6.7825,6.0532,,8.644,,,,12.0763,9.052,10.3576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.6087,3.1258,2.4808,1.3766453,2.0533,12.367,9.1285,6.7825,6.0532,,8.644,,,,12.0763,9.052,10.3576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.6087,3.1258,2.4808,1.3766453,2.0533,12.367,9.1285,6.7825,6.0532,,8.644,,,,12.0763,9.052,10.3576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.6087,3.1258,2.4808,1.3766453,2.0533,12.367,9.1234,6.7825,6.0532,,8.644,,,,12.0763,9.052,10.3576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.6087,3.1258,2.4808,1.3766453,2.0533,12.367,9.1234,6.7825,6.0532,,8.644,,,,12.0763,9.052,10.3576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.6087,3.1258,2.4808,1.3766453,2.0533,12.367,9.1234,6.7876,6.0532,,8.644,,,,12.0763,9.052,10.3576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.6087,3.1258,2.4808,1.3766453,2.0533,12.367,9.1234,6.7876,6.0532,,8.644,,,,12.0763,9.052,10.3576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.6087,3.1258,2.4808,1.3766453,2.0533,12.367,9.1234,6.7876,6.0532,,8.644,,,,12.0763,9.052,10.3576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.6087,3.1258,2.4808,1.3766453,2.0533,12.367,9.1234,6.7876,6.0532,,8.644,,,,12.0763,9.052,10.3576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.6087,3.1258,2.4778,1.3766453,2.0533,12.367,9.1234,6.7876,6.0532,,8.644,,,,12.0763,9.052,10.3576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.6087,3.1258,2.4778,1.3766453,2.0533,12.367,9.1234,6.7876,6.0532,,8.644,,,,12.0763,9.052,10.3576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.6087,3.1258,2.4778,1.3766453,2.0533,12.367,9.1234,6.7876,6.0532,,8.644,,,,12.0763,9.052,10.3576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.6087,3.1258,2.4778,1.3766453,2.0533,12.367,9.1234,6.7876,6.0532,,8.644,,,,12.0763,9.052,10.3576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.6087,3.1258,2.4778,1.3766453,2.0533,12.367,9.1234,6.7876,6.0532,,8.644,,,,12.0763,9.052,10.3576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.6087,3.1258,2.4778,1.3766453,2.0533,12.367,9.1234,6.7876,6.0532,,8.644,,,,12.0763,9.052,10.3576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.6087,3.1258,2.4778,1.3766453,2.0533,12.367,9.1234,6.7876,6.0532,,8.644,,,,12.0763,9.052,10.3576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.6087,3.1258,2.4778,1.3766453,2.0533,12.367,9.1234,6.7876,6.0532,,8.644,,,,12.0763,9.052,10.3576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.6087,3.1258,2.4778,1.3766453,2.0533,12.367,9.1234,6.7876,6.0532,,8.644,,,,12.0712,9.052,10.3576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.6087,3.1258,2.4778,1.3766453,2.0533,12.367,9.1234,6.7876,6.0532,,8.644,,,,12.0712,9.052,10.3576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.6087,3.1258,2.4778,1.3766453,2.0533,12.367,9.1234,6.7876,6.0532,,8.644,,,,12.0712,9.052,10.3576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.6087,3.1258,2.4778,1.3766453,2.0533,12.367,9.1234,6.7876,6.0532,,8.644,,,,12.0712,9.052,10.3576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.6087,3.1258,2.4778,1.37620017,2.0533,12.367,9.1234,6.7876,6.0532,,8.644,,,,12.0712,9.052,10.3576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.6087,3.1258,2.4778,1.37620017,2.0533,12.367,9.1234,6.7876,6.0532,,8.644,,,,12.0712,9.052,10.3576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.6087,3.1273,2.4778,1.37620017,2.0533,12.367,9.1234,6.7876,6.0532,,8.644,,,,12.0712,9.052,10.3576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.6087,3.1273,2.4778,1.37620017,2.0533,12.367,9.1234,6.7876,6.0532,,8.644,,,,12.0712,9.052,10.3576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.6087,3.1273,2.4778,1.37620017,2.0518,12.367,9.1234,6.7876,6.0532,,8.644,,,,12.0712,9.052,10.3576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.6087,3.1273,2.4778,1.37620017,2.0518,12.367,9.1234,6.7876,6.0532,,8.644,,,,12.0712,9.052,10.3576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.6087,3.1273,2.4778,1.37620017,2.0518,12.367,9.1234,6.7876,6.0532,,8.644,,,,12.0712,9.052,10.3576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.6087,3.1273,2.4778,1.37620017,2.0518,12.367,9.1234,6.7876,6.0532,,8.644,,,,12.0712,9.052,10.3576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.6087,3.1273,2.4778,1.37620017,2.0518,12.367,9.1234,6.7876,6.0532,,8.644,,,,12.0712,9.052,10.3576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.6087,3.1273,2.4778,1.37620017,2.0518,12.367,9.1234,6.7876,6.0532,,8.644,,,,12.0712,9.052,10.3576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.6087,3.1273,2.4778,1.37620017,2.0518,12.367,9.1234,6.7876,6.0532,,8.644,,,,12.0712,9.052,10.3576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.6087,3.1273,2.4778,1.37620017,2.0518,12.367,9.1234,6.7876,6.0532,,8.644,,,,12.0712,9.052,10.3576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.6087,3.1273,2.4778,1.37620017,2.0518,12.367,9.1234,6.7876,6.0532,,8.644,,,,12.0712,9.052,10.3576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.6087,3.1273,2.4778,1.37620017,2.0518,12.367,9.1234,6.7876,6.0532,,8.644,,,,12.0712,9.052,10.3576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.6036,3.1273,2.4778,1.37620017,2.0518,12.367,9.1234,6.7825,6.0532,,8.644,,,,12.0712,9.052,10.3576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.6036,3.1273,2.4778,1.37620017,2.0518,12.367,9.1234,6.7825,6.0532,,8.644,,,,12.0712,9.052,10.3576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.6036,3.1273,2.4778,1.37620017,2.0518,12.367,9.1234,6.7825,6.0532,,8.644,,,,12.0712,9.052,10.3576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.6036,3.1273,2.4778,1.37620017,2.0518,12.367,9.1234,6.7825,6.0532,,8.644,,,,12.0712,9.052,10.3576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.6036,3.1273,2.4778,1.3766453,2.0518,12.367,9.1234,6.7825,6.0532,,8.644,,,,12.0712,9.052,10.3576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.6036,3.1273,2.4778,1.3766453,2.0518,12.367,9.1234,6.7825,6.0532,,8.644,,,,12.0712,9.052,10.3576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.6036,3.1273,2.4778,1.3766453,2.0518,12.367,9.1234,6.7825,6.0532,,8.644,,,,12.0712,9.0469,10.3576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.6036,3.1273,2.4778,1.3766453,2.0518,12.367,9.1234,6.7825,6.0532,,8.644,,,,12.0712,9.0469,10.3576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.6036,3.1258,2.4778,1.3766453,2.0518,12.367,9.1234,6.7825,6.043,,8.644,,,,12.0661,9.0469,10.3576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.6036,3.1258,2.4778,1.3766453,2.0518,12.367,9.1234,6.7825,6.043,,8.644,,,,12.0661,9.0469,10.3576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.6036,3.1258,2.4778,1.3766453,2.0518,12.3925,9.1183,6.7825,6.043,,8.644,,,,12.0661,9.0469,10.3576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.6036,3.1258,2.4778,1.3766453,2.0518,12.3925,9.1183,6.7825,6.043,,8.644,,,,12.0661,9.0469,10.3576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.6036,3.1258,2.4778,1.3766453,2.0518,12.3925,9.1183,6.7825,6.043,,8.644,,,,12.0661,9.0469,10.3576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.6036,3.1258,2.4778,1.3766453,2.0518,12.3925,9.1183,6.7825,6.043,,8.644,,,,12.0661,9.0469,10.3576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.6036,3.1258,2.4778,1.3766453,2.0518,12.3925,9.1183,6.7825,6.043,,8.644,,,,12.0661,9.0469,10.3474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.6036,3.1258,2.4778,1.3766453,2.0518,12.3925,9.1183,6.7825,6.043,,8.644,,,,12.0661,9.0469,10.3474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.6036,3.1258,2.4778,1.3766453,2.0518,12.3925,9.1183,6.7825,6.043,,8.644,,,,12.0661,9.0469,10.3474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.6036,3.1258,2.4778,1.3766453,2.0518,12.3925,9.1183,6.7825,6.043,,8.644,,,,12.0661,9.0469,10.3474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.6036,3.1258,2.4778,1.3766453,2.0518,12.3925,9.1183,6.7825,6.043,,8.644,,,,12.0661,9.0469,10.3474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.6036,3.1258,2.4778,1.3766453,2.0518,12.3925,9.1183,6.7825,6.043,,8.644,,,,12.0661,9.0469,10.3474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.6036,3.1258,2.4778,1.3766453,2.0518,12.3925,9.1183,6.7825,6.043,,8.644,,,,12.0661,9.0469,10.3474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.6036,3.1258,2.4778,1.3766453,2.0518,12.3925,9.1183,6.7825,6.043,,8.644,,,,12.0661,9.0469,10.3474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.6036,3.1258,2.4778,1.3766453,2.0518,12.3925,9.1183,6.7876,6.043,,8.644,,,,12.0661,9.0469,10.3474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.6036,3.1258,2.4778,1.3766453,2.0518,12.3925,9.1183,6.7876,6.043,,8.644,,,,12.0661,9.0469,10.3474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.6036,3.1258,2.4778,1.3766453,2.0518,12.3925,9.1183,6.7876,6.043,,8.644,,,,12.0661,9.0469,10.3474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.6036,3.1258,2.4778,1.3766453,2.0518,12.3925,9.1183,6.7876,6.043,,8.644,,,,12.0661,9.0469,10.3474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.6036,3.1258,2.4778,1.3766453,2.0518,12.3925,9.1183,6.7876,6.043,,8.644,,,,12.0661,9.0469,10.3474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
